route,relatedRoute,check,expected,actual,severity,status,details
/bueroumzug-eichstaett,/leistungen,SPECIALIST_WITHOUT_HUB_LINK,link from /leistungen,missing,REVIEW,FAIL,
/bueroumzug-erding,/leistungen,SPECIALIST_WITHOUT_HUB_LINK,link from /leistungen,missing,REVIEW,FAIL,
/bueroumzug-ergoldsbach,/leistungen,SPECIALIST_WITHOUT_HUB_LINK,link from /leistungen,missing,REVIEW,FAIL,
/bueroumzug-erlangen,/leistungen,SPECIALIST_WITHOUT_HUB_LINK,link from /leistungen,missing,REVIEW,FAIL,
/bueroumzug-eschenbach-in-der-oberpfalz,/leistungen,SPECIALIST_WITHOUT_HUB_LINK,link from /leistungen,missing,REVIEW,FAIL,
/bueroumzug-feucht,/leistungen,SPECIALIST_WITHOUT_HUB_LINK,link from /leistungen,missing,REVIEW,FAIL,
/bueroumzug-freising,/leistungen,SPECIALIST_WITHOUT_HUB_LINK,link from /leistungen,missing,REVIEW,FAIL,
/bueroumzug-freystadt,/leistungen,SPECIALIST_WITHOUT_HUB_LINK,link from /leistungen,missing,REVIEW,FAIL,
/bueroumzug-freyung,/leistungen,SPECIALIST_WITHOUT_HUB_LINK,link from /leistungen,missing,REVIEW,FAIL,
/bueroumzug-fuerstenfeldbruck,/leistungen,SPECIALIST_WITHOUT_HUB_LINK,link from /leistungen,missing,REVIEW,FAIL,
/bueroumzug-fuerth,/leistungen,SPECIALIST_WITHOUT_HUB_LINK,link from /leistungen,missing,REVIEW,FAIL,
/bueroumzug-furth-im-wald,/leistungen,SPECIALIST_WITHOUT_HUB_LINK,link from /leistungen,missing,REVIEW,FAIL,
/bueroumzug-garching,/leistungen,SPECIALIST_WITHOUT_HUB_LINK,link from /leistungen,missing,REVIEW,FAIL,
/bueroumzug-geiselhoering,/leistungen,SPECIALIST_WITHOUT_HUB_LINK,link from /leistungen,missing,REVIEW,FAIL,
/bueroumzug-geisenfeld,/leistungen,SPECIALIST_WITHOUT_HUB_LINK,link from /leistungen,missing,REVIEW,FAIL,
/bueroumzug-germering,/leistungen,SPECIALIST_WITHOUT_HUB_LINK,link from /leistungen,missing,REVIEW,FAIL,
/bueroumzug-gersthofen,/leistungen,SPECIALIST_WITHOUT_HUB_LINK,link from /leistungen,missing,REVIEW,FAIL,
/bueroumzug-grafenau,/leistungen,SPECIALIST_WITHOUT_HUB_LINK,link from /leistungen,missing,REVIEW,FAIL,
/bueroumzug-grafenwoehr,/leistungen,SPECIALIST_WITHOUT_HUB_LINK,link from /leistungen,missing,REVIEW,FAIL,
/bueroumzug-guenzburg,/leistungen,SPECIALIST_WITHOUT_HUB_LINK,link from /leistungen,missing,REVIEW,FAIL,
/bueroumzug-hagelstadt,/leistungen,SPECIALIST_WITHOUT_HUB_LINK,link from /leistungen,missing,REVIEW,FAIL,
/bueroumzug-hausen,/leistungen,SPECIALIST_WITHOUT_HUB_LINK,link from /leistungen,missing,REVIEW,FAIL,
/bueroumzug-hemau,/leistungen,SPECIALIST_WITHOUT_HUB_LINK,link from /leistungen,missing,REVIEW,FAIL,
